OBJECTID,ID,LENGTH,AFC_NUMBER,ROADTYPE,NUMBER,PRIMARY_NA,ALT_NAME_1,ALT_NAME_2,LOCAL_NAME,STATE,CCSTYLE,ALTFUEL_RO,EV_ROUND,EV,ELECTRICVE,CNG_ROUND,CNG,COMNATURAL,LNG_ROUND,LNG,LIQNATURAL,LPG_ROUND,LPG,PROPANE,HY_ROUND,HY,HYDROGEN,Len_miles,Not_NHS,ShapeSTLength
56,24,165.92,3,I,3,I3, , , ,AK,1,4,4,2,Signage Pending,0,0, ,0,0, ,0,0, ,0,0, ,165.91830031,0,590192.328059674
57,25,151.74,3,I,3,I3, , , ,AK,4,4,4,2,Signage Pending,0,0, ,0,0, ,0,0, ,0,0, ,151.74042403,0,566790.479530742
58,26,15.36,1,S,1,S1, , ,PACIFIC COAST HWY,CA,4,1,1,1,Signage Ready,1,1,Signage Ready,0,0, ,0,0, ,1,2,Signage Pending,15.35685624,0,29697.5108740914
59,79,35.44,86,S,86,S86,S,86, ,CA,4,2,2,2,Signage Pending,2,2,Signage Pending,0,0, ,0,0, ,0,0, ,35.43837119,0,68191.706041865
60,84,112.39,10,I,10,I10, , ,I-10,AZ,1,25,5,2,Signage Pending,2,1,Signage Ready,2,2,Signage Pending,5,1,Signage Ready,5,2,Signage Pending,112.38950933,0,218313.084977981
61,119,217.4,10,I,10,I10,U290, , ,TX,1,1,1,2,Signage Pending,1,2,Signage Pending,1,2,Signage Pending,1,2,Signage Pending,0,0, ,217.40068139,0,408184.737621703
62,120,111.49,20,I,20,I20,U80, , ,TX,1,1,1,2,Signage Pending,1,1,Signage Ready,1,2,Signage Pending,1,1,Signage Ready,0,0, ,111.49304545,0,212926.288808584
63,135,45.64,20,I,20,I20, , , ,AL,1,234,4,2,Signage Pending,2,1,Signage Ready,2,2,Signage Pending,3,1,Signage Ready,0,0, ,45.63906158,0,88641.7063735859
64,147,74.96,95,I,95,I95, , , ,SC,1,16,1,2,Signage Pending,1,2,Signage Pending,0,0, ,1,2,Signage Pending,0,0, ,74.96198597,0,145054.342592974
65,161,110.88,59,I,59,I59, , , ,AL,1,234,4,2,Signage Pending,2,2,Signage Pending,0,0, ,3,1,Signage Ready,0,0, ,110.87549363,0,215549.09215184
